                          1        2         3         4        5       avg
snow               0.754900  0.67830  0.679200  0.63710  0.584600  0.666820
fog                0.782600  0.76120  0.732400  0.68110  0.534500  0.698360
frost              0.735700  0.67990  0.609700  0.60250  0.529800  0.631520
glass_blur         0.500500  0.51430  0.533700  0.38880  0.412100  0.469880
defocus_blur       0.788600  0.78620  0.775700  0.75580  0.718800  0.765020
motion_blur        0.774300  0.75210  0.723900  0.72010  0.683600  0.730800
zoom_blur          0.770400  0.76500  0.750700  0.73280  0.700000  0.743780
gaussian_noise     0.695000  0.59270  0.472600  0.41690  0.362800  0.508000
shot_noise         0.736900  0.68970  0.570000  0.51780  0.426200  0.588120
impulse_noise      0.763900  0.72020  0.668500  0.53140  0.390000  0.614800
pixelate           0.773800  0.74670  0.730000  0.64930  0.513200  0.682600
brightness         0.788100  0.78030  0.770600  0.75590  0.714400  0.761860
contrast           0.784000  0.74560  0.713600  0.65330  0.432000  0.665700
jpeg_compression   0.689300  0.63610  0.612400  0.59090  0.550800  0.615900
elastic_transform  0.747500  0.75310  0.745300  0.67290  0.580300  0.699820
average            0.739033  0.70676  0.672553  0.62044  0.542207  0.656199
