                         1       2         3         4        5       avg
snow               0.93860  0.9059  0.905300  0.884700  0.87020  0.900940
fog                0.95520  0.9522  0.948100  0.936300  0.88620  0.935600
frost              0.94140  0.9189  0.893000  0.889400  0.84810  0.898160
glass_blur         0.79780  0.8016  0.825200  0.674200  0.71740  0.763240
defocus_blur       0.95560  0.9541  0.947800  0.937300  0.91110  0.941180
motion_blur        0.94610  0.9296  0.913100  0.915700  0.89110  0.919120
zoom_blur          0.94160  0.9417  0.932600  0.923300  0.90140  0.928120
gaussian_noise     0.92640  0.8853  0.826600  0.792600  0.74860  0.835900
shot_noise         0.93930  0.9227  0.877400  0.850500  0.79160  0.876300
impulse_noise      0.93840  0.9210  0.896600  0.815500  0.68330  0.850960
pixelate           0.94740  0.9262  0.910600  0.820600  0.69790  0.860540
brightness         0.95610  0.9535  0.950400  0.947200  0.93500  0.948440
contrast           0.95520  0.9493  0.944600  0.935300  0.87670  0.932220
jpeg_compression   0.91230  0.8855  0.875300  0.857000  0.82760  0.871540
elastic_transform  0.93550  0.9360  0.928200  0.884700  0.83590  0.904060
average            0.93246  0.9189  0.904987  0.870953  0.82814  0.891088
